ID,PDB_ID,Subset,Complex_Type,Resolution,Affinity_Data,pKd_pKi_pIC50,Release_Year,Protein_Name,Pubmed_ID,Pubchem_SID,Reference,UniProt_AC,Formula,Molecular_Weight,Exact_Mass,No._of_atoms,No._of_bonds,Polar_Surface_Area,XLOGP3,open_banel_LogP,HB_donor,HB_acceptor,Rotatable_bonds,SMILES
134,1cnx,refined,Protein-Ligand,1.9,Kd=43nM,7.37,1995,carbonic anhydrase ii,7608893,46391663,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918,C13H22N3O5S,332.396,332.128,44,44,143.74,-1.47,0.51,3,3,11,[NH3+]CCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N
135,1cny,refined,Protein-Ligand,2.3,Kd=14nM,7.85,1995,carbonic anhydrase ii,7608893,46391664,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918,C22H31N4O6S,479.57,479.196,64,65,172.84,-0.14,1.63,4,4,16,[NH3+][C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1
136,1cps,refined,Protein-Ligand,2.25,Ki=0.22uM,6.66,1993,carboxypeptidase a,1527041,46391667,"J.Biol.Chem. v267 pp. 19192-7, 1992",P00730,C11H15N2O2S,240.322,240.093,32,32,93.38,4.86,3.09,0,2,4,OC(=O)[C@@H](CS(=N)(=N)C)Cc1ccccc1
137,1ctt,refined,Protein-Ligand,2.2,Ki=30uM,4.52,1995,cytidine deaminase,7718553,46391676,"Biochemistry v34 pp. 4516-23, 1995",P0ABF6,C9H14N2O5,230.218,230.09,30,31,102.26,-1.96,-1.77,4,4,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=CCNC1=O
138,1ctu,refined,Protein-Ligand,2.3,Ki=1.2pM,11.92,1995,cytidine deaminase,7718553,46391677,"Biochemistry v34 pp. 4516-23, 1995",P0ABF6,C9H14N2O6,246.217,246.085,31,32,122.49,-2.51,-2.45,5,5,6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C[C@H](NC1=O)O
139,1d09,refined,Protein-Ligand,2.1,Ki=27nM,7.57,2000,aspartate carbamoyltransferase,10651286,46391689,"Proteins v37 pp. 729-42, 1999",P0A786 P0A7F3,C6H6NO8P,256.127,256.022,27,26,177.98,-0.96,-1.84,1,8,4,O=C(CP(O)(O)O)N[C@H](C(=O)O)CC(=O)O
140,1d2e,refined,Protein-Ligand,1.94,Kd=1uM,6,1999,elongation factor tu (ef-tu),10715211,46391691,"J.Mol.Biol. v297 pp. 421-36, 2000",P49410,C10H12N5O11P2,445.216,445.04,45,47,286.07,-5.72,-2.75,4,9,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
141,1d3d,refined,Protein-Ligand,2.04,Kd=0.81nM,9.09,2000,thrombin alpha,10739244,46391692,"Protein Sci. v9 pp. 29-36, 2000",P01050 P00734,C32H37N2O2SBr,593.617,592.176,75,80,66.58,7.68,8,3,1,10,Oc1ccc2c(c1)sc(c2Cc1ccc(c(c1)Br)C[NH+]1CCCC1)c1ccc(cc1)OCC[NH+]1CCCC1
142,1d3p,refined,Protein-Ligand,2.1,Kd=41nM,7.39,2000,thrombin alpha,10739244,46391693,"Protein Sci. v9 pp. 29-36, 2000",P01050 P00734,C32H39N3O3S,545.735,545.271,78,83,88.7,6.43,6.51,3,2,12,Oc1ccc2c(c1)sc(c2Cc1ccc(cc1)OCC[NH+]1CCCC1)c1ccc(nc1)OCC[NH+]1CCCC1
143,1d4h,refined,Protein-Ligand,1.81,Ki=0.10nM,10,2002,hiv-1 protease,12694187,46391696,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C36H38N2O7,610.696,610.268,83,87,137.35,3.43,3.75,5,5,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1ccccc1)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
144,1d4i,refined,Protein-Ligand,1.81,Ki=1.40nM,8.85,2002,hiv-1 protease,12694187,46391697,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C38H40N2O7,636.733,636.284,87,92,137.35,3.86,4.24,5,5,18,O=C([C@@H](C[C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
145,1d4j,refined,Protein-Ligand,1.81,Ki=4.40nM,8.36,2002,hiv-1 protease,12694187,46391698,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C36H36N2O7FCl,663.132,662.22,83,87,137.35,4.16,4.54,5,5,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1c(F)cccc1Cl)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
146,1d4k,refined,Protein-Ligand,1.85,Ki=0.6nM,9.22,2000,HIV-1 protease,11000004,46391699,"J.Med.Chem. v43 pp. 3495-504, 2000",P03369,C41H55N4O6,699.899,699.412,106,110,153.6,4.94,3.8,6,5,14,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H](C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)O)Cc2ccc(cc2)OCCCCCNC1=O)C
147,1d4l,refined,Protein-Ligand,1.75,Ki=1.7nM,8.77,2000,HIV-1 protease,11000004,46391700,"J.Med.Chem. v43 pp. 3495-504, 2000",P03369,C32H48N4O6S,616.812,616.329,91,93,159.44,4.26,5.81,4,5,10,CC(CCN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)C
148,1d4p,refined,Protein-Ligand,2.07,Kd=0.5uM,6.3,1999,thrombin alpha,9232642,46391701,"Protein Sci. v6 pp. 1412-7, 1997",P01050 P00734,C22H25N4O,361.46,361.203,52,55,87.71,5.33,2.37,1,1,5,O=C(c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)N1CCC(CC1)Cc1ccccc1
149,1d4y,refined,Protein-Ligand,1.97,Ki=0.008nM,11.1,1999,HIV-1 protease,8893827,46391702,"J.Med.Chem. v39 pp. 4349-53, 1996",P03367,C31H33N2O5SF3,602.664,602.206,75,78,113.97,6.97,8.48,2,5,12,CCC[C@@]1(CCc2ccccc2)CC(=C(C(=O)O1)[C@@H](c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC)O
150,1d6v,refined,Protein-Ligand,2,Kd=670nM,6.17,2000,chimeric germline precursor of oxy-cope,10651626,46391707,"Biochemistry v39 pp. 627-32, 2000",P01834 P01857,C23H26NO4,381.465,381.194,55,57,86.63,4.71,4.08,2,4,8,OC(=O)CCCNC(=O)c1ccc(cc1)[C@H]1CC[C@@H](C[C@@H]1O)c1ccccc1
151,1d6w,refined,Protein-Ligand,2,Ki=1100nM,5.96,2000,thrombin alpha,10713516,46391708,"Acta Crystallogr., Sect.D v56 pp. 294-303, 2000",P28511 P00734,C24H29N7O5S,527.596,527.195,66,70,175.25,1.05,2.6,3,6,8,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)N[C@@H]1CC[C@H](CC1)c1cnc([nH]1)N
152,1d7i,refined,Protein-Ligand,1.9,Kd=250uM,3.6,1999,FK506 binding protein,10656803,46391709,"J.Mol.Biol. v295 pp. 953-62, 2000",P62942,C3H8OS2,124.225,124.002,14,13,61.58,0.07,1.55,0,1,1,CSC[S@@](=O)C
153,1d7j,refined,Protein-Ligand,1.85,Kd=500uM,3.3,1999,FK506 binding protein,10656803,46391710,"J.Mol.Biol. v295 pp. 953-62, 2000",P62942,C4H8O2,88.105,88.052,14,13,37.3,-0.8,-0.04,1,2,3,CC(=O)CCO
154,1d9i,refined,Protein-Ligand,2.3,Ki=0.78nM,9.11,2000,thrombin alpha,10713516,46391715,"Acta Crystallogr., Sect.D v56 pp. 294-303, 2000",P28504 P00734,C22H30N5O5S,476.569,476.197,63,66,148.19,0.79,0.78,2,5,8,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)NC[C@@H]1CC[C@H](CC1)[NH3+]
155,1dar,refined,Protein-Ligand,2.4,Kd=11uM,4.96,1996,elongation factor g,8736554,46391716,"Structure v4 pp. 555-65, 1996",Q5SHN5,C10H12N5O11P2,445.216,445.04,45,47,286.07,-5.72,-2.75,4,9,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
156,1det,refined,Protein-Ligand,1.8,Kd=50uM,4.3,1996,ribonuclease T1,8679590,46391722,"Biochemistry v35 pp. 8329-34, 1996",P00651,C10H12N5O8P,364.229,364.066,39,41,222.79,-3.99,-2.43,4,7,5,OC[C@H]1O[C@H]([C@H]([C@@H]1O)OP(O)(O)O)n1cnc2c1nc(N)[nH]c2=O
157,1df8,refined,Protein-Ligand,1.51,Kd=0.20nM,9.7,2000,streptavidin,10850797,46391723,"Protein Sci. v9 pp. 878-85, 2000",P22629,C10H15N2O3S,244.311,244.088,32,33,103.73,1.78,1.45,2,3,4,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
158,1dgm,refined,Protein-Ligand,1.8,Ki=8.9uM,5.05,2000,Toxoplasma gondii Adenosine Kinase,18563892,0,"(2008) J. Med. Chem., Vol.51, pp.3934-3945",Q9TVW2,C10H13N5O4,267.241,267.097,32,34,139.54,-1.9,-1.4,4,6,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
159,1dhi,refined,Protein-Ligand,1.9,Kd=55nM,7.26,1994,dihydrofolate reductase,8265622,46391726,"Proc.Natl.Acad.Sci.USA v90 pp. 11753-6, 1993",P0ABQ4,C20H20N8O5,454.439,454.171,55,57,210.54,1.87,1.82,3,9,8,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
160,1dhj,refined,Protein-Ligand,1.8,Kd=281nM,6.55,1994,dihydrofolate reductase,8265622,46391727,"Proc.Natl.Acad.Sci.USA v90 pp. 11753-6, 1993",P0ABQ4,C20H20N8O5,454.439,454.171,55,57,210.54,1.87,1.82,3,9,8,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
161,1dif,refined,Protein-Ligand,1.7,Ki=22pM,10.66,1996,HIV-1 protease,8551523,46391730,"J.Mol.Biol. v255 pp. 321-46, 1996",P03367,C44H56N8O6F2,830.962,830.429,116,119,189.12,4.55,5.84,6,8,27,CC([C@@H](C(=O)N[C@H](C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)N(Cc1ccccn1)C)Cc1ccccc1)(O)O)(F)F)Cc1ccccc1)NC(=O)N(Cc1ccccn1)C)C
162,1dl7,refined,Protein-Ligand,2.35,Kd=0.32uM,6.49,2000,antibody m3c65 (light chain),10859335,46391733,"J.Exp.Med. v191 pp. 2101-12, 2000",P01724 P01820,C11H17N2O6P,306.252,306.098,39,39,118.33,0.6,1.88,0,4,6,OP(Oc1ccc(cc1)N(=O)=O)(OCC[N+](C)(C)C)O
163,1dmp,refined,Protein-Ligand,2,Ki=0.28nM,9.55,1997,HIV-1 protease,8807858,46391736,"Chem.Biol. v3 pp. 301-14, 1996",P04585,C33H36N4O3,536.664,536.279,76,80,116.05,3.94,5.27,4,3,10,Nc1cccc(c1)CN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(C1=O)Cc1cccc(c1)N)Cc1ccccc1)O
164,1dqn,refined,Protein-Ligand,1.75,Ki=10nM,8,2000,guanine phosphoribosyltransferase,10841757,46391738,"Biochemistry v39 pp. 6781-90, 2000",Q24973,C11H15N5O7P,363.264,363.094,42,44,228.14,-6.97,-1.64,6,6,5,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O
165,1drj,refined,Protein-Ligand,2.5,Kd=0.040uM,7.4,1995,rous sarcoma virus protease,7982928,46391740,"J.Biol.Chem. v269 pp. 30206-11, 1994",P02925,C5H10O5,150.13,150.053,20,20,90.15,-2.52,-2.58,4,4,4,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O
166,1drk,refined,Protein-Ligand,2,Kd=0.15uM,6.82,1995,rous sarcoma virus protease,7982928,46391741,"J.Biol.Chem. v269 pp. 30206-11, 1994",P02925,C5H10O5,150.13,150.053,20,20,90.15,-2.52,-2.58,4,4,4,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O
167,1drv,refined,Protein-Ligand,2.2,Kd=0.29uM,6.54,1997,DIHYDRODIPICOLINATE REDUCTASE,8873595,53812528,"Biochemistry. 1996, 35, 13294-13302.",P04036,C22H28N6O14P2,666.469,666.145,76,80,325.1,-5.13,-1.94,5,12,15,O[C@@H]1[C@H](O)[C@H](O[C@H]1N1C=CCC(=C1)C(=O)C)COP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)(O)O)(O)O
168,1dud,refined,Protein-Ligand,2.3,Ki=15uM,4.82,1996,deoxyuridine 5'-triphosphate nucleotidohydrolase,8646539,46391746,"Nat.Struct.Biol. v3 pp. 532-8, 1996",P06968,C9H11N2O11P2,390.178,390.023,40,41,231.11,-4.31,-2.47,2,8,6,O[C@H]1C[C@@H](O[C@@H]1COP(OP(O)(O)O)(O)O)n1ccc(=O)[nH]c1=O
169,1duv,refined,Protein-Ligand,1.7,Kd=1.6pM,11.8,2000,ornithine transcarbamoylase,10747936,46391747,"J.Biol.Chem. v275 pp. 20012-9, 2000",P04391,C5H14N4O6PS,293.258,293.068,35,34,227.89,-4.67,0.33,4,6,6,OC(=O)[C@H](CCCN[P@@](=O)(NS(O)(O)O)N)[NH3+]
170,1dy4,refined,Protein-Ligand,1.9,Ki=44uM,4.36,2000,cellobiohydrolase i,11114249,46391751,"J.Mol.Biol. v305 pp. 79-93, 2001",P62694,C16H20NO2,258.335,258.149,39,41,46.07,2.65,1.31,2,1,7,O[C@H](COc1cccc2c1cccc2)C[NH2+]C1CC1
171,1dzk,refined,Protein-Ligand,1.48,Kd=0.8uM,6.1,2000,odorant-binding protein,10864504,46391753,"J.Mol.Biol. v300 pp. 127-39, 2000",P81245,C9H14N2O,166.22,166.111,26,26,35.01,1.71,1.68,0,2,3,COc1nccnc1CC(C)C
172,1e1v,refined,Protein-Ligand,1.95,Ki=12uM,4.92,2001,cyclin dependent kinase 2,10956187,46391760,"J.Med.Chem. v43 pp. 2797-804, 2000",P24941,C12H17N5O,247.296,247.143,35,37,89.71,2.43,2.48,2,3,3,Nc1nc(OCC2CCCCC2)c2c(n1)[nH]cn2
173,1e1x,refined,Protein-Ligand,1.85,Ki=1.3uM,5.89,2001,cyclin dependent kinase 2,10956187,46391761,"J.Med.Chem. v43 pp. 2797-804, 2000",P24941,C11H17N5O2,251.285,251.138,35,36,116.48,2.11,3.16,2,3,3,O=Nc1c(OCC2CCCCC2)nc(nc1N)N
174,1e2k,refined,Protein-Ligand,1.7,Ki=11.4uM,4.94,2000,thymidine kinase,10924157,46391763,"Biochemistry v39 pp. 9597-603, 2000",P0DTH5,C12H16N2O4,252.266,252.111,34,36,95.32,-0.47,-0.85,3,4,4,Cc1cn([C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O)c(=O)[nH]c1=O
175,1e2l,refined,Protein-Ligand,2.4,Ki=51.5uM,4.29,2000,thymidine kinase,10924157,46391764,"Biochemistry v39 pp. 9597-603, 2000",P0DTH5,C12H16N2O4,252.266,252.111,34,36,95.32,-0.47,-0.85,3,4,4,Cc1cn([C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O)c(=O)[nH]c1=O
176,1e3g,refined,Protein-Ligand,2.4,Kd=0.99nM,9,2001,Ligand-binding Domain (LBD) of human Androgen Receptor,15771445,0,"(2005) J. Med. Chem., Vol.48, pp.2026-2035",P10275,C19H24O2,284.393,284.178,45,48,37.3,2.08,3.72,1,2,1,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
177,1e3v,refined,Protein-Ligand,2,Kd=45.74uM,4.34,2001,steroid delta-isomerase,11007792,46391767,"J.Biol.Chem. v275 pp. 41100-6, 2000",P07445,C24H39O4,392.572,392.293,68,71,77.76,6.36,4.48,2,4,5,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
178,1e4h,refined,Protein-Ligand,1.8,Kd=3.9nM,8.41,2000,transthyretin,10957627,46391768,"Acta Crystallogr., Sect.D v56 pp. 1085-95, 2000",P02766,C6HOBr5,488.592,483.594,13,13,20.23,5.02,5.2,1,1,1,Brc1c(O)c(Br)c(c(c1Br)Br)Br
179,1e5j,refined,Protein-Ligand,1.85,Ki=100uM,4,2001,endoglucanase,,46391771,Chembiochemv2;pp.319,O85465,C25H44O19S2,712.735,712.192,90,93,368.97,-6.89,-7.66,13,13,24,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)OC)[C@@H]([C@H]([C@@H]1S[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)S[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
180,1.00E+66,refined,Protein-Ligand,2.1,Ki=0.13nM,9.89,2001,acetylcholinesterase,11863435,46391772,"Biochemistry v41 pp. 2970-81, 2002",P04058,C18H19N2Cl,298.81,298.124,40,43,38.91,4.09,5.44,1,1,1,CCC1=C[C@H]2C[C@@H](C1)c1c(C2)nc2c(c1N)ccc(c2)Cl
181,1e6q,refined,Protein-Ligand,1.35,Ki=0.7mM,3.15,2001,myrosinase,10978344,46391773,"J.Biol.Chem. v275 pp. 39385-93, 2000",P29736,C6H11N4O4,203.176,203.078,25,26,127.42,-2.26,-2.81,5,6,5,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1[nH]nn2)O
182,1e6s,refined,Protein-Ligand,1.35,Ki=0.6mM,3.22,2000,myrosinase,10978344,46391774,"J.Biol.Chem. v275 pp. 39385-93, 2000",P29736,C6H12N2O5,192.17,192.075,25,25,125.54,-1.8,-2.85,6,5,6,OC[C@H]1N/C(=N/O)/[C@@H]([C@H]([C@@H]1O)O)O
183,1eb2,refined,Protein-Ligand,2,Ki=980nM,6.01,2002,trypsin,,46391782,J.Med.Chem.v45;pp.1221,P00760,C28H29N4O3,469.555,469.224,64,67,118.09,5.05,2.77,1,3,9,O=C([C@@H](c1ccccc1)NC(=O)c1cccc(c1)C(=[NH2+])N)N1CC[C@H](CC1)C(=O)c1ccccc1
184,1ebw,refined,Protein-Ligand,1.81,Ki=0.90nM,9.05,2002,hiv-1 protease,12694187,46391784,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C34H52N4O8,644.799,644.379,98,99,175.32,2.38,3.07,6,6,25,CC[C@@H]([C@@H](C(=O)NC)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)[C@H](CC)C)OCc1ccccc1)O)O)OCC1=CCC=CC1)C
185,1eby,refined,Protein-Ligand,2.29,Ki=0.20nM,9.7,2002,hiv-1 protease,12694187,46391785,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C38H40N2O8,652.733,652.278,88,93,157.58,3.44,3.21,6,6,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
186,1ebz,refined,Protein-Ligand,2.01,Ki=0.40nM,9.4,2002,hiv-1 protease,12694187,46391786,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C35H43N3O8,633.731,633.305,89,92,166.45,2.65,2.71,6,6,21,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)O)OCc1ccccc1
187,1ec0,refined,Protein-Ligand,1.79,Ki=3.2nM,8.49,2002,hiv-1 protease,15560801,46391787,"Eur.J.Biochem. v271 pp. 4594-602, 2004",P03366,C38H38N2O8F2,688.714,688.26,88,93,157.58,3.64,3.49,6,6,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1F)O)O)OCc1ccccc1F)N[C@@H]1[C@H](O)Cc2c1cccc2
188,1ec1,refined,Protein-Ligand,2.1,Ki=1.20nM,8.92,2002,hiv-1 protease,12694187,46391788,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C40H50N4O8S2,778.977,778.307,104,107,231.8,4.48,5.67,6,6,25,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cscc1)O)O)OCc1ccc(cc1)c1cscc1
189,1ec2,refined,Protein-Ligand,2,Ki=0.10nM,10,2002,hiv-1 protease,12694187,46391789,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C42H52N6O8,768.898,768.385,108,111,201.1,2.98,4.34,6,8,25,CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NC)C(C)C)OCc1ccc(cc1)c1cccnc1)O)O)OCc1ccc(cc1)c1cccnc1
190,1ec3,refined,Protein-Ligand,1.8,Ki=0.92nM,9.04,2002,hiv-1 protease,12694187,46391790,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C42H52N6O8,768.898,768.385,108,111,201.1,2.78,4.15,6,8,27,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@H](C(=O)NCc1ccccn1)C(C)C)OCc1ccccc1)O)O)OCc1ccccc1)N[C@H](C(=O)NCc1ccccn1)C(C)C
191,1ec9,refined,Protein-Ligand,2,Ki=0.8mM,3.1,2000,glucarate dehydratase,10769114,46391791,"Biochemistry v39 pp. 4590-602, 2000",P0AES2,C5H8NO7,195.127,195.038,22,21,147.32,-2.36,-2.95,5,7,8,ONC(=O)[C@H]([C@@H]([C@H](C(=O)O)O)O)O
192,1ecq,refined,Protein-Ligand,2,Ki=1.0mM,3,2000,glucarate dehydratase,10769114,46391792,"Biochemistry v39 pp. 4590-602, 2000",P0AES2,C6H8O7,194.139,194.043,23,22,135.29,-0.38,-2.37,3,7,6,OC(=O)[C@H](C[C@@H]([C@H](C(=O)O)O)O)O
193,1ecv,refined,Protein-Ligand,1.95,Ki=14uM,4.85,2000,tyrosine phosphatase 1b,10702277,46391793,"J.Biol.Chem. v275 pp. 7101-8, 2000",P18031,C9H4NO5I,335.052,334.929,22,22,103.7,3.52,1.09,1,5,2,Ic1ccc(c(c1)C(=O)O)NC(=O)C(=O)O
194,1efy,refined,Protein-Ligand,2.2,Ki=6nM,8.22,2001,adp-ribose polymerase,11063605,46391799,"J.Med.Chem. v43 pp. 4084-97, 2000",P26446,C15H13N3O2,267.283,267.101,33,35,81,2,3.04,2,2,3,COc1cccc(c1)c1nc2c([nH]1)cccc2C(=O)N
195,1egh,refined,Protein-Ligand,2,Ki=2uM,5.7,2000,methylglyoxal synthase,10715115,46391800,"Biochemistry v39 pp. 2950-60, 2000",P0A731,C2H2O6P,157.039,156.99,15,14,120.81,-1.24,-1.26,0,5,1,OC(=O)COP(O)(O)O
196,1ejn,refined,Protein-Ligand,1.8,Ki=2.4uM,5.62,2000,urokinase-type plasminogen activator,10805774,46391803,"Proc.Natl.Acad.Sci.USA v97 pp. 5113-8, 2000",P00749,C19H28N5O,342.459,342.229,53,56,107.14,4.12,2.62,2,1,6,O=C(N[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)NCc1ccc(cc1)[NH+]=C(N)N
197,1ela,refined,Protein-Ligand,1.8,Ki=0.44uM,6.36,1994,elastase,7656008,46391807,"Nat.Struct.Biol. v1 pp. 55-8, 1994",P00772,C22H32N4O3F3,457.51,457.243,64,65,106.15,2.9,2.6,3,3,12,[NH3+]CCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)C(C)C)NC(=O)C(F)(F)F
198,1elb,refined,Protein-Ligand,2.1,Ki=70nM,7.15,1994,elastase,7656008,46391808,"Nat.Struct.Biol. v1 pp. 55-8, 1994",P00772,C23H36N4O3F3,473.552,473.274,69,69,114.94,3.92,3.59,4,3,15,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)Nc1ccc(cc1)C(C)C)CC(C)C)NC(=O)C(F)(F)F
199,1elc,refined,Protein-Ligand,1.75,Ki=0.22uM,6.66,1994,elastase,7656008,46391809,"Nat.Struct.Biol. v1 pp. 55-8, 1994",P00772,C26H34N4O3F3,507.568,507.258,70,71,114.94,4.19,3.79,4,3,15,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)Nc1ccc(cc1)C(C)C)Cc1ccccc1)NC(=O)C(F)(F)F
200,1eld,refined,Protein-Ligand,1.8,Ki=0.20uM,6.7,1995,elastase,7880814,46391810,"Biochemistry v34 pp. 3193-203, 1995",P00772,C21H19N3O3F6,475.384,475.133,52,53,87.3,4.18,4.29,3,3,10,C[C@@H](C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)[C@H](Cc1ccccc1)NC(=O)C(F)(F)F
